"datetime","power_by_hour","mean_temperature","rain","temp","rhum","wdsp","sun","vis","month","year"
2017-10-12 23:00:00,3475,16.3,0,16.5,86,17,0,30000,"10","2017"
2017-10-13,3288,16.3,0,16.5,84,15,0,30000,"10","2017"
2017-10-13 01:00:00,3516,16.3,0,17,86,15,0,30000,"10","2017"
2017-10-13 02:00:00,5474,16.3,0,16.9,86,15,0,30000,"10","2017"
2017-10-13 03:00:00,7636,16.3,0,16.7,87,13,0,30000,"10","2017"
2017-10-13 04:00:00,4358,16.3,0,16.8,87,11,0,30000,"10","2017"
2017-10-13 05:00:00,4202,16.3230769230769,0,17,87,18,0,30000,"10","2017"
2017-10-13 06:00:00,32225,16.4181818181818,0,17.2,86,20,0,30000,"10","2017"
2017-10-13 07:00:00,11382,16.7076923076923,0,17.1,88,21,0,30000,"10","2017"
2017-10-13 08:00:00,3132,16.6090909090909,0,17.4,86,20,0.2,40000,"10","2017"
2017-10-13 09:00:00,5527,16.6,0,17.9,84,18,0.2,40000,"10","2017"
2017-10-13 10:00:00,34721,16.6,0,19.1,79,19,0.4,40000,"10","2017"
2017-10-13 11:00:00,35904,16.6923076923077,0,18.9,83,21,0.3,30000,"10","2017"
2017-10-13 12:00:00,14955,16.8,0,19.1,82,20,0.1,25000,"10","2017"
2017-10-13 13:00:00,3345,16.8,0,18.7,84,19,0.2,25000,"10","2017"
2017-10-13 14:00:00,3162,16.8,0,19,82,17,0,30000,"10","2017"
2017-10-13 15:00:00,3235,16.7846153846154,0,19.1,81,16,0,30000,"10","2017"
2017-10-13 16:00:00,9589,16.8454545454545,0.3,16.4,93,15,0,9000,"10","2017"
2017-10-13 17:00:00,3670,16.9538461538462,1,14.6,97,7,0,4000,"10","2017"
2017-10-13 18:00:00,9724,16.8727272727273,0.8,13.4,98,8,0,6000,"10","2017"
2017-10-13 19:00:00,53691,17.5,0.5,13.2,96,9,0,9000,"10","2017"
2017-10-13 20:00:00,93471,17.9636363636364,0.4,13.1,98,6,0,12000,"10","2017"
2017-10-13 21:00:00,86851,17.5923076923077,0.5,13.4,98,4,0,7000,"10","2017"
2017-10-13 22:00:00,29168,17.6,0.2,13.4,99,6,0,7000,"10","2017"
2017-10-13 23:00:00,22635,17.9538461538462,0.2,13.6,98,6,0,6000,"10","2017"
2017-10-14,7136,17.2545454545455,0.1,13.4,98,8,0,7000,"10","2017"
